chromosome,gene_id,gene_symbol,P-value,Zscore,Direction,regulation,heterogeneity_I_squared,heterogeneity_Chi_squared,heterogeneity_degrees_of_freedom_squared,heterogeneity_P-value
5,ENSG00000275506,AC010378.1,0.575,-0.561,0-,Not differentially expressed,0,0.131,1,0.7176
11,ENSG00000137747,TMPRSS13,0.5751,-0.561,--,Not differentially expressed,0,0.085,1,0.77
1,ENSG00000118298,CA14,0.5751,0.561,-+,Not differentially expressed,0,0.3,1,0.5837
8,ENSG00000253135,AC103724.2,0.5751,-0.56,0-,Not differentially expressed,0,0.131,1,0.7177
19,ENSG00000255974,CYP2A6,0.5752,0.56,+-,Not differentially expressed,0,0.783,1,0.3763
4,ENSG00000145416,1-Mar,0.5754,-0.56,--,Not differentially expressed,0,0.249,1,0.6177
1,ENSG00000226148,SLC25A39P1,0.5755,0.56,++,Not differentially expressed,0,0.049,1,0.8252
17,ENSG00000175155,YPEL2,0.5755,-0.56,--,Not differentially expressed,0,0.001,1,0.9784
3,ENSG00000171121,KCNMB3,0.5755,0.56,++,Not differentially expressed,0,0.103,1,0.7486
6,ENSG00000146276,GABRR1,0.5755,-0.56,0-,Not differentially expressed,0,0.13,1,0.718
10,ENSG00000230397,SPTLC1P1,0.5756,-0.56,+-,Not differentially expressed,16.8,1.202,1,0.2729
22,ENSG00000100154,TTC28,0.5756,-0.56,+-,Not differentially expressed,0,0.275,1,0.6003
7,ENSG00000231956,HNRNPA1P9,0.5758,-0.56,0-,Not differentially expressed,0,0.13,1,0.7181
X,ENSG00000269556,TMEM185A,0.5758,-0.56,--,Not differentially expressed,0,0.019,1,0.8906
16,ENSG00000260882,AC026458.1,0.5758,-0.56,0-,Not differentially expressed,0,0.13,1,0.7182
9,ENSG00000229184,ATP5PDP2,0.5758,0.56,0+,Not differentially expressed,0,0.13,1,0.7182
7,ENSG00000091128,LAMB4,0.5758,0.56,++,Not differentially expressed,0,0.084,1,0.7724
17,ENSG00000214176,PLEKHM1P1,0.5759,0.559,+-,Not differentially expressed,48.5,1.941,1,0.1636
19,ENSG00000161914,ZNF653,0.5759,0.559,++,Not differentially expressed,0,0.646,1,0.4214
16,ENSG00000225614,ZNF469,0.5759,0.559,+-,Not differentially expressed,45.2,1.825,1,0.1767
X,ENSG00000277535,AL772284.2,0.5759,-0.559,0-,Not differentially expressed,0,0.13,1,0.7182
X,ENSG00000134602,STK26,0.5759,-0.559,--,Not differentially expressed,0,0.557,1,0.4556
7,ENSG00000197037,ZSCAN25,0.576,-0.559,--,Not differentially expressed,0,0.085,1,0.7703
12,ENSG00000239701,AC006512.1,0.5761,0.559,0+,Not differentially expressed,0,0.13,1,0.7183
4,ENSG00000138780,GSTCD,0.5761,-0.559,-+,Not differentially expressed,46.4,1.867,1,0.1718
12,ENSG00000231738,TSPAN19,0.5761,0.559,+-,Not differentially expressed,16.1,1.192,1,0.2749
2,ENSG00000183091,NEB,0.5762,0.559,++,Not differentially expressed,0,0.001,1,0.9731
6,ENSG00000217527,RPS16P5,0.5763,-0.559,--,Not differentially expressed,0,0.003,1,0.9591
2,ENSG00000224442,AC017035.1,0.5764,0.559,0+,Not differentially expressed,0,0.13,1,0.7186
21,ENSG00000141959,PFKL,0.5764,-0.559,-+,Not differentially expressed,0,0.898,1,0.3434
1,ENSG00000174876,AMY1B,0.5764,-0.559,0-,Not differentially expressed,0,0.13,1,0.7186
2,ENSG00000186684,CYP27C1,0.5765,0.558,++,Not differentially expressed,0,0.322,1,0.5702
8,ENSG00000169946,ZFPM2,0.5766,-0.558,--,Not differentially expressed,0,0.042,1,0.8384
1,ENSG00000285794,AL031281.4,0.5766,0.558,++,Not differentially expressed,0,0.287,1,0.5924
9,ENSG00000226393,IFNA20P,0.5766,-0.558,0-,Not differentially expressed,0,0.13,1,0.7187
17,ENSG00000037042,TUBG2,0.5766,-0.558,+-,Not differentially expressed,78.1,4.574,1,0.03247
1,ENSG00000235827,TUBB8P9,0.5767,-0.558,0-,Not differentially expressed,0,0.13,1,0.7188
19,ENSG00000267908,ZSCAN5DP,0.5767,0.558,0+,Not differentially expressed,0,0.13,1,0.7188
1,ENSG00000177462,OR2T8,0.5767,-0.558,0-,Not differentially expressed,0,0.13,1,0.7188
1,ENSG00000134202,GSTM3,0.5767,-0.558,-+,Not differentially expressed,43.5,1.771,1,0.1832
14,ENSG00000100867,DHRS2,0.5767,-0.558,--,Not differentially expressed,0,0.143,1,0.705
16,ENSG00000230872,MFSD13B,0.5768,0.558,+-,Not differentially expressed,0,0.82,1,0.3652
6,ENSG00000243955,GSTA1,0.5768,-0.558,0-,Not differentially expressed,0,0.13,1,0.7188
1,ENSG00000229010,AL161672.1,0.5768,-0.558,+-,Not differentially expressed,0,0.498,1,0.4802
13,ENSG00000130177,CDC16,0.5769,-0.558,-+,Not differentially expressed,10.5,1.117,1,0.2906
8,ENSG00000104537,ANXA13,0.577,0.558,-+,Not differentially expressed,0,0.318,1,0.5727
5,ENSG00000240729,AC146507.2,0.577,0.558,++,Not differentially expressed,0,0.692,1,0.4056
1,ENSG00000227232,WASH7P,0.5773,0.557,++,Not differentially expressed,0,0.044,1,0.8338
X,ENSG00000102098,SCML2,0.5773,0.557,-+,Not differentially expressed,0,0.212,1,0.6455
17,ENSG00000259120,SMIM6,0.5773,0.557,++,Not differentially expressed,0,0.317,1,0.5732
5,ENSG00000062194,GPBP1,0.5773,-0.557,--,Not differentially expressed,0,0.286,1,0.593
2,ENSG00000232403,AC009501.1,0.5774,0.557,0+,Not differentially expressed,0,0.129,1,0.7193
2,ENSG00000163060,TEKT4,0.5775,-0.557,0-,Not differentially expressed,0,0.129,1,0.7194
4,ENSG00000073331,ALPK1,0.5775,0.557,++,Not differentially expressed,0,0.257,1,0.612
21,ENSG00000205670,SMIM11A,0.5776,-0.557,--,Not differentially expressed,0,0.478,1,0.4891
12,ENSG00000257666,CBX3P5,0.5776,-0.557,0-,Not differentially expressed,0,0.129,1,0.7194
11,ENSG00000166363,OR10A5,0.5776,-0.557,0-,Not differentially expressed,0,0.129,1,0.7194
9,ENSG00000229273,BX664615.1,0.5777,-0.557,--,Not differentially expressed,0,0.006,1,0.937
6,ENSG00000001561,ENPP4,0.5777,-0.557,-+,Not differentially expressed,63.4,2.731,1,0.09839
7,ENSG00000106683,LIMK1,0.5779,0.556,+-,Not differentially expressed,30.7,1.442,1,0.2298
2,ENSG00000150873,C2orf50,0.5779,-0.556,+-,Not differentially expressed,0,0.751,1,0.3861
12,ENSG00000258316,KLF17P1,0.578,-0.556,0-,Not differentially expressed,0,0.129,1,0.7197
6,ENSG00000226541,AL359633.1,0.5782,-0.556,0,Not differentially expressed,0,0.743,1,0.3887
13,ENSG00000102524,TNFSF13B,0.5782,0.556,+-,Not differentially expressed,29.4,1.416,1,0.2341
13,ENSG00000150401,DCUN1D2,0.5782,-0.556,--,Not differentially expressed,0,0.3,1,0.584
X,ENSG00000147124,ZNF41,0.5782,-0.556,+-,Not differentially expressed,0.5,1.005,1,0.3162
1,ENSG00000224261,RPSAP18,0.5783,-0.556,0-,Not differentially expressed,0,0.129,1,0.7199
1,ENSG00000196505,GDAP2,0.5783,-0.556,--,Not differentially expressed,0,0.473,1,0.4917
1,ENSG00000143196,DPT,0.5785,-0.556,--,Not differentially expressed,0,0.37,1,0.5428
2,ENSG00000168385,2-Sep,0.5786,0.555,++,Not differentially expressed,0,0.246,1,0.6199
6,ENSG00000137185,ZSCAN9,0.5786,0.555,-+,Not differentially expressed,63.5,2.736,1,0.09808
9,ENSG00000254483,SUGT1P4,0.5786,-0.555,0-,Not differentially expressed,0,0.128,1,0.7201
17,ENSG00000108479,GALK1,0.5787,0.555,-+,Not differentially expressed,0,0.967,1,0.3255
1,ENSG00000142583,SLC2A5,0.5788,0.555,++,Not differentially expressed,0,0.001,1,0.9709
11,ENSG00000254621,SETP16,0.5788,-0.555,0-,Not differentially expressed,0,0.128,1,0.7202
19,ENSG00000186526,CYP4F8,0.5789,0.555,++,Not differentially expressed,0,0.217,1,0.6415
11,ENSG00000183020,AP2A2,0.5789,-0.555,+-,Not differentially expressed,0,0.272,1,0.6018
6,ENSG00000168830,HTR1E,0.579,-0.555,+-,Not differentially expressed,0,0.187,1,0.6657
7,ENSG00000214142,RPL7P60,0.5793,0.554,++,Not differentially expressed,0,0,1,0.9983
3,ENSG00000283544,ABBA01000935.2,0.5794,0.554,0+,Not differentially expressed,0,0.128,1,0.7207
15,ENSG00000140386,SCAPER,0.5794,0.554,+-,Not differentially expressed,33.5,1.504,1,0.22
Y,ENSG00000224060,ARSEP1,0.5795,-0.554,0-,Not differentially expressed,0,0.128,1,0.7208
1,ENSG00000235241,BX284668.4,0.5796,0.554,0+,Not differentially expressed,0,0.128,1,0.7208
1,ENSG00000137976,DNASE2B,0.5796,0.554,0+,Not differentially expressed,0,0.128,1,0.7208
7,ENSG00000230444,TFAMP1,0.5797,-0.554,0-,Not differentially expressed,0,0.128,1,0.7209
10,ENSG00000189014,SHLD2P3,0.5797,-0.554,0-,Not differentially expressed,0,0.128,1,0.7209
2,ENSG00000271532,BBIP1P1,0.5797,0.554,0+,Not differentially expressed,0,0.128,1,0.7209
3,ENSG00000224080,UBE2FP1,0.5797,0.554,-+,Not differentially expressed,4.4,1.046,1,0.3064
10,ENSG00000232554,RSU1P2,0.5798,0.554,++,Not differentially expressed,0,0.507,1,0.4765
6,ENSG00000168405,CMAHP,0.5798,0.554,-+,Not differentially expressed,0,0.128,1,0.7207
1,ENSG00000116852,KIF21B,0.5798,0.554,+-,Not differentially expressed,49.4,1.977,1,0.1597
16,ENSG00000258839,MC1R,0.5798,0.554,+-,Not differentially expressed,26.3,1.356,1,0.2442
6,ENSG00000218226,TATDN2P2,0.5799,-0.553,--,Not differentially expressed,0,0.126,1,0.7227
8,ENSG00000155189,AGPAT5,0.5799,-0.554,-+,Not differentially expressed,40.8,1.689,1,0.1937
9,ENSG00000233765,AL591479.1,0.5799,-0.553,0-,Not differentially expressed,0,0.127,1,0.7211
9,ENSG00000127191,TRAF2,0.58,0.553,++,Not differentially expressed,0,0.669,1,0.4135
7,ENSG00000075223,SEMA3C,0.5801,-0.553,--,Not differentially expressed,0,0.003,1,0.9531
1,ENSG00000185630,PBX1,0.5801,-0.553,+-,Not differentially expressed,66.1,2.95,1,0.08589
5,ENSG00000253537,PCDHGA7,0.5801,-0.553,+-,Not differentially expressed,87.1,7.767,1,0.005321
8,ENSG00000181135,ZNF707,0.5802,-0.553,--,Not differentially expressed,0,0.001,1,0.9708
22,ENSG00000100239,PPP6R2,0.5802,0.553,++,Not differentially expressed,0,0.099,1,0.7531
4,ENSG00000038002,AGA,0.5803,0.553,-+,Not differentially expressed,0,0.812,1,0.3676
3,ENSG00000206549,PRSS50,0.5804,0.553,0+,Not differentially expressed,0,0.127,1,0.7214
10,ENSG00000148719,DNAJB12,0.5805,0.553,++,Not differentially expressed,0,0.087,1,0.7679
17,ENSG00000078687,TNRC6C,0.5805,0.553,+-,Not differentially expressed,47.1,1.891,1,0.1691
10,ENSG00000229235,RPL37P18,0.5805,0.553,0+,Not differentially expressed,0,0.127,1,0.7215
7,ENSG00000127922,SEM1,0.5808,0.552,+-,Not differentially expressed,85.5,6.88,1,0.008716
11,ENSG00000279000,OR10A6,0.5809,-0.552,--,Not differentially expressed,0,0.435,1,0.5096
16,ENSG00000005844,ITGAL,0.5813,0.552,++,Not differentially expressed,0,0.134,1,0.7142
14,ENSG00000119703,ZC2HC1C,0.5814,0.551,-+,Not differentially expressed,0,0.473,1,0.4916
7,ENSG00000170807,LMOD2,0.5815,-0.551,0-,Not differentially expressed,0,0.126,1,0.7222
21,ENSG00000279208,CR381653.2,0.5817,-0.551,--,Not differentially expressed,0,0.059,1,0.8079
21,ENSG00000237731,RNGTTP1,0.5817,0.551,0+,Not differentially expressed,0,0.126,1,0.7223
11,ENSG00000166323,C11orf65,0.5817,-0.551,+-,Not differentially expressed,0,0.285,1,0.5932
14,ENSG00000185559,DLK1,0.5818,0.551,0+,Not differentially expressed,0,0.126,1,0.7224
9,ENSG00000054148,PHPT1,0.5819,-0.551,-+,Not differentially expressed,31,1.45,1,0.2286
1,ENSG00000229519,AL591866.1,0.5819,0.551,0+,Not differentially expressed,0,0.126,1,0.7224
8,ENSG00000078579,FGF20,0.5819,-0.551,-+,Not differentially expressed,33.1,1.495,1,0.2214
14,ENSG00000283071,LBHD2,0.582,0.55,0+,Not differentially expressed,0,0.126,1,0.7225
5,ENSG00000239517,AC116337.2,0.582,-0.55,0-,Not differentially expressed,0,0.126,1,0.7225
11,ENSG00000074319,TSG101,0.5821,0.55,++,Not differentially expressed,0,0.633,1,0.4262
X,ENSG00000214897,PNMA6E,0.5821,0.55,0+,Not differentially expressed,0,0.126,1,0.7226
17,ENSG00000011258,MBTD1,0.5822,0.55,-+,Not differentially expressed,0,0.342,1,0.5587
6,ENSG00000001084,GCLC,0.5822,0.55,-+,Not differentially expressed,0,0.496,1,0.4814
4,ENSG00000182223,ZAR1,0.5823,-0.55,0-,Not differentially expressed,0,0.126,1,0.7228
12,ENSG00000130038,CRACR2A,0.5823,0.55,-+,Not differentially expressed,0,0.223,1,0.6369
12,ENSG00000256563,NANOGNBP2,0.5823,-0.55,0-,Not differentially expressed,0,0.126,1,0.7227
6,ENSG00000183826,BTBD9,0.5823,0.55,++,Not differentially expressed,0,0.175,1,0.6757
12,ENSG00000255780,AC020611.1,0.5823,0.55,0+,Not differentially expressed,0,0.126,1,0.7227
12,ENSG00000111291,GPRC5D,0.5824,0.55,0+,Not differentially expressed,0,0.126,1,0.7228
1,ENSG00000163352,LENEP,0.5825,0.55,0+,Not differentially expressed,0,0.126,1,0.7229
11,ENSG00000248712,CCDC153,0.5825,0.55,++,Not differentially expressed,0,0.134,1,0.7144
3,ENSG00000178035,IMPDH2,0.5826,-0.55,--,Not differentially expressed,0,0.175,1,0.6761
19,ENSG00000105472,CLEC11A,0.5826,-0.55,--,Not differentially expressed,0,0.03,1,0.8635
12,ENSG00000258830,AC137834.1,0.5827,-0.549,0-,Not differentially expressed,0,0.126,1,0.723
15,ENSG00000166963,MAP1A,0.5827,0.549,+-,Not differentially expressed,78.6,4.676,1,0.03059
20,ENSG00000101444,AHCY,0.5827,-0.549,+-,Not differentially expressed,0,0.992,1,0.3191
1,ENSG00000274944,GJA9-MYCBP,0.5828,0.549,++,Not differentially expressed,0,0.307,1,0.5798
4,ENSG00000251177,AC093829.1,0.5829,-0.549,0-,Not differentially expressed,0,0.125,1,0.7232
21,ENSG00000279381,CR392039.1,0.5829,-0.549,0-,Not differentially expressed,0,0.125,1,0.7232
3,ENSG00000145040,UCN2,0.5832,0.549,0+,Not differentially expressed,0,0.125,1,0.7234
8,ENSG00000253621,RPSAP74,0.5832,-0.549,0-,Not differentially expressed,0,0.125,1,0.7234
20,ENSG00000124257,NEURL2,0.5832,-0.549,+-,Not differentially expressed,0,0.165,1,0.6845
19,ENSG00000171017,LRRC8E,0.5832,0.549,+-,Not differentially expressed,15.2,1.179,1,0.2776
1,ENSG00000070886,EPHA8,0.5834,0.548,+-,Not differentially expressed,25.3,1.339,1,0.2472
6,ENSG00000204427,ABHD16A,0.5834,-0.548,-+,Not differentially expressed,78.9,4.73,1,0.02964
10,ENSG00000152457,DCLRE1C,0.5835,-0.548,--,Not differentially expressed,0,0,1,0.9896
1,ENSG00000198520,ARMH1,0.5836,0.548,++,Not differentially expressed,0,0.19,1,0.6632
16,ENSG00000262470,TVP23CP2,0.5836,-0.548,+-,Not differentially expressed,56,2.273,1,0.1316
1,ENSG00000186715,MST1L,0.5836,0.548,-+,Not differentially expressed,0,0.427,1,0.5134
15,ENSG00000235390,AC051619.1,0.5839,0.548,++,Not differentially expressed,0,0.664,1,0.4152
2,ENSG00000229816,DDX50P1,0.5841,0.547,++,Not differentially expressed,0,0.588,1,0.4432
5,ENSG00000243232,PCDHAC2,0.5842,-0.547,-+,Not differentially expressed,50.6,2.025,1,0.1548
12,ENSG00000110801,PSMD9,0.5842,0.547,++,Not differentially expressed,0,0.017,1,0.8971
5,ENSG00000145824,CXCL14,0.5844,-0.547,+-,Not differentially expressed,22.5,1.29,1,0.2561
1,ENSG00000117411,B4GALT2,0.5845,0.547,-+,Not differentially expressed,0,0.25,1,0.6173
8,ENSG00000160959,LRRC14,0.5845,-0.547,--,Not differentially expressed,0,0.051,1,0.8211
19,ENSG00000090339,ICAM1,0.5847,0.546,+-,Not differentially expressed,61.7,2.614,1,0.1059
11,ENSG00000133812,SBF2,0.5847,-0.547,+-,Not differentially expressed,0,0.181,1,0.6708
9,ENSG00000165695,AK8,0.585,-0.546,--,Not differentially expressed,0,0.155,1,0.6942
9,ENSG00000148358,GPR107,0.585,0.546,+-,Not differentially expressed,77.3,4.396,1,0.03602
10,ENSG00000165879,FRAT1,0.585,0.546,-+,Not differentially expressed,0,0.76,1,0.3834
6,ENSG00000004809,SLC22A16,0.5851,-0.546,-+,Not differentially expressed,48.7,1.95,1,0.1626
1,ENSG00000227001,NBPF2P,0.5851,-0.546,+-,Not differentially expressed,0,0.156,1,0.6931
9,ENSG00000167157,PRRX2,0.5852,-0.546,0-,Not differentially expressed,0,0.124,1,0.7248
15,ENSG00000259429,UBE2Q2P2,0.5853,0.546,+-,Not differentially expressed,24.7,1.328,1,0.2491
11,ENSG00000254487,AC130364.1,0.5853,-0.546,0-,Not differentially expressed,0,0.124,1,0.7248
4,ENSG00000150961,SEC24D,0.5854,-0.546,--,Not differentially expressed,0,0.023,1,0.8782
7,ENSG00000270249,AC093668.1,0.5854,0.545,+-,Not differentially expressed,0,0.905,1,0.3414
11,ENSG00000181518,OR8D4,0.5856,0.545,++,Not differentially expressed,0,0.079,1,0.7783
7,ENSG00000185040,SPDYE16,0.5856,0.545,+-,Not differentially expressed,68.1,3.131,1,0.07682
8,ENSG00000126233,SLURP1,0.5856,-0.545,0-,Not differentially expressed,0,0.124,1,0.7251
9,ENSG00000136881,BAAT,0.5857,-0.545,--,Not differentially expressed,0,0.044,1,0.8331
17,ENSG00000274615,AC233968.1,0.5857,-0.545,-+,Not differentially expressed,0,0.793,1,0.3731
5,ENSG00000061455,PRDM6,0.5857,0.545,++,Not differentially expressed,0,0.003,1,0.9549
15,ENSG00000176454,LPCAT4,0.5858,0.545,+-,Not differentially expressed,8.7,1.095,1,0.2954
6,ENSG00000204209,DAXX,0.5859,0.545,++,Not differentially expressed,0,0.282,1,0.5953
17,ENSG00000083290,ULK2,0.5859,0.545,++,Not differentially expressed,0,0.328,1,0.5666
19,ENSG00000187556,NANOS3,0.5859,0.545,++,Not differentially expressed,0,0.238,1,0.6259
13,ENSG00000123179,EBPL,0.586,-0.545,-+,Not differentially expressed,0,0.888,1,0.346
15,ENSG00000218052,ADAMTS7P4,0.586,0.545,++,Not differentially expressed,0,0.632,1,0.4265
X,ENSG00000101940,WDR13,0.5861,0.545,++,Not differentially expressed,0,0.103,1,0.7486
1,ENSG00000215704,CELA2B,0.5861,-0.544,+-,Not differentially expressed,0,0.97,1,0.3247
3,ENSG00000226652,PSMD10P2,0.5862,0.544,++,Not differentially expressed,0,0.09,1,0.7643
11,ENSG00000148935,GAS2,0.5862,-0.544,-+,Not differentially expressed,79.2,4.797,1,0.02851
1,ENSG00000230849,GOT2P2,0.5862,-0.544,0-,Not differentially expressed,0,0.123,1,0.7255
10,ENSG00000151631,AKR1C6P,0.5863,-0.544,0-,Not differentially expressed,0,0.123,1,0.7255
3,ENSG00000273291,AC092042.3,0.5864,-0.544,--,Not differentially expressed,0,0.291,1,0.5896
10,ENSG00000184923,NUTM2A,0.5866,0.544,+-,Not differentially expressed,59.2,2.45,1,0.1175
2,ENSG00000226564,FTH1P20,0.5866,-0.544,0-,Not differentially expressed,0,0.123,1,0.7258
10,ENSG00000166321,NUDT13,0.5868,0.544,++,Not differentially expressed,0,0.059,1,0.8078
5,ENSG00000262209,PCDHGB3,0.5868,0.543,+-,Not differentially expressed,68,3.121,1,0.0773
6,ENSG00000130023,ERMARD,0.5868,-0.543,-+,Not differentially expressed,59.1,2.447,1,0.1178
5,ENSG00000145692,BHMT,0.5869,-0.543,--,Not differentially expressed,0,0.004,1,0.9477
22,ENSG00000100241,SBF1,0.5871,0.543,++,Not differentially expressed,0,0.636,1,0.4253
19,ENSG00000126243,LRFN3,0.5871,0.543,+-,Not differentially expressed,79,4.765,1,0.02904
4,ENSG00000170390,DCLK2,0.5872,0.543,++,Not differentially expressed,0,0.328,1,0.5666
9,ENSG00000030304,MUSK,0.5872,0.543,++,Not differentially expressed,0,0.089,1,0.7657
20,ENSG00000178726,THBD,0.5872,0.543,+-,Not differentially expressed,63.3,2.721,1,0.09902
8,ENSG00000165156,ZHX1,0.5873,0.543,++,Not differentially expressed,0,0.104,1,0.7467
2,ENSG00000230580,AC021016.1,0.5873,0.543,0+,Not differentially expressed,0,0.123,1,0.7262
4,ENSG00000163633,C4orf36,0.5873,0.543,+-,Not differentially expressed,22.4,1.289,1,0.2562
6,ENSG00000111802,TDP2,0.5873,-0.543,--,Not differentially expressed,0,0.658,1,0.4174
13,ENSG00000224117,PTPN2P2,0.5874,0.543,+-,Not differentially expressed,0,0.767,1,0.381
11,ENSG00000172818,OVOL1,0.5875,-0.542,0-,Not differentially expressed,0,0.122,1,0.7264
4,ENSG00000249799,SNRPCP13,0.5875,-0.542,0-,Not differentially expressed,0,0.122,1,0.7264
17,ENSG00000127774,EMC6,0.5876,-0.542,--,Not differentially expressed,0,0.364,1,0.5464
5,ENSG00000253203,GUSBP3,0.5876,0.542,++,Not differentially expressed,0,0.123,1,0.7261
2,ENSG00000225813,AC009299.1,0.5877,0.542,-+,Not differentially expressed,52.5,2.104,1,0.1469
8,ENSG00000133742,CA1,0.5877,0.542,-+,Not differentially expressed,16.2,1.193,1,0.2748
1,ENSG00000143702,CEP170,0.5877,-0.542,--,Not differentially expressed,0,0.107,1,0.7432
4,ENSG00000164306,PRIMPOL,0.5877,-0.542,-+,Not differentially expressed,39.5,1.654,1,0.1984
2,ENSG00000115808,STRN,0.5878,-0.542,--,Not differentially expressed,0,0.571,1,0.4497
12,ENSG00000246705,H2AFJ,0.5878,0.542,-+,Not differentially expressed,25.3,1.338,1,0.2474
19,ENSG00000099817,POLR2E,0.5878,-0.542,+-,Not differentially expressed,70.4,3.38,1,0.06601
2,ENSG00000114988,LMAN2L,0.5878,0.542,++,Not differentially expressed,0,0.152,1,0.6964
16,ENSG00000140961,OSGIN1,0.5879,0.542,++,Not differentially expressed,0,0.001,1,0.973
1,ENSG00000228502,EEF1A1P11,0.5881,0.542,0+,Not differentially expressed,0,0.122,1,0.7268
1,ENSG00000231615,AL645568.2,0.5881,0.542,++,Not differentially expressed,0,0.041,1,0.8391
14,ENSG00000087299,L2HGDH,0.5881,-0.542,+-,Not differentially expressed,82.3,5.635,1,0.0176
5,ENSG00000164175,SLC45A2,0.5881,0.542,0+,Not differentially expressed,0,0.122,1,0.7268
1,ENSG00000203878,CHIAP2,0.5882,-0.541,-+,Not differentially expressed,37.5,1.6,1,0.2059
12,ENSG00000257966,OLA1P3,0.5884,-0.541,--,Not differentially expressed,0,0.025,1,0.8756
1,ENSG00000173436,MINOS1,0.5884,0.541,+-,Not differentially expressed,11.7,1.132,1,0.2873
1,ENSG00000230604,TSEN15P2,0.5884,-0.541,0-,Not differentially expressed,0,0.122,1,0.7271
2,ENSG00000179270,PCARE,0.5885,0.541,++,Not differentially expressed,0,0.075,1,0.7843
2,ENSG00000240356,RPL23AP7,0.5886,0.541,-+,Not differentially expressed,0,0.508,1,0.4762
19,ENSG00000188868,ZNF563,0.5887,-0.541,--,Not differentially expressed,0,0,1,0.9834
4,ENSG00000164120,HPGD,0.5887,0.541,-+,Not differentially expressed,0,0.72,1,0.396
10,ENSG00000204033,LRIT2,0.5887,0.541,0+,Not differentially expressed,0,0.122,1,0.7272
5,ENSG00000113249,HAVCR1,0.5888,-0.541,--,Not differentially expressed,0,0.392,1,0.5311
6,ENSG00000166984,TCP10L2,0.5888,0.541,0+,Not differentially expressed,0,0.122,1,0.7273
17,ENSG00000262870,CYCSP40,0.5888,-0.541,0-,Not differentially expressed,0,0.122,1,0.7274
8,ENSG00000164764,SBSPON,0.5889,0.54,-+,Not differentially expressed,0,0.682,1,0.4091
1,ENSG00000163239,TDRD10,0.5891,0.54,++,Not differentially expressed,0,0.137,1,0.711
5,ENSG00000213663,AC010409.1,0.5892,-0.54,0-,Not differentially expressed,0,0.121,1,0.7276
1,ENSG00000279049,AL353898.2,0.5894,0.54,+-,Not differentially expressed,52.1,2.088,1,0.1485
1,ENSG00000155380,SLC16A1,0.5894,0.54,-+,Not differentially expressed,66.2,2.96,1,0.08533
15,ENSG00000254793,FDPSP4,0.5895,-0.54,0-,Not differentially expressed,0,0.121,1,0.7278
6,ENSG00000112419,PHACTR2,0.5895,0.54,++,Not differentially expressed,0,0.322,1,0.5707
17,ENSG00000198783,ZNF830,0.5896,-0.539,+-,Not differentially expressed,0,0.38,1,0.5376
9,ENSG00000231804,AL353748.1,0.5897,0.539,0+,Not differentially expressed,0,0.121,1,0.728
15,ENSG00000137860,SLC28A2,0.5897,0.539,++,Not differentially expressed,0,0.138,1,0.7107
7,ENSG00000128595,CALU,0.5897,0.539,++,Not differentially expressed,0,0.001,1,0.9782
14,ENSG00000258923,MTND5P35,0.5898,0.539,0+,Not differentially expressed,0,0.121,1,0.728
1,ENSG00000229120,CYCSP4,0.5898,-0.539,0-,Not differentially expressed,0,0.121,1,0.728
15,ENSG00000180953,ST20,0.5898,0.539,-+,Not differentially expressed,71.4,3.498,1,0.06146
16,ENSG00000141002,TCF25,0.5898,0.539,+-,Not differentially expressed,14.9,1.176,1,0.2783
15,ENSG00000117899,MESD,0.5898,-0.539,--,Not differentially expressed,0,0.185,1,0.6668
1,ENSG00000236872,PPIAP36,0.5898,0.539,0+,Not differentially expressed,0,0.121,1,0.728
11,ENSG00000254949,GNG5P3,0.5898,0.539,0+,Not differentially expressed,0,0.121,1,0.728
2,ENSG00000207186,RNA5SP122,0.5898,0.539,0+,Not differentially expressed,0,0.121,1,0.728
19,ENSG00000131398,KCNC3,0.5899,0.539,+-,Not differentially expressed,80.7,5.174,1,0.02293
5,ENSG00000173261,PLAC8L1,0.5899,0.539,-+,Not differentially expressed,54.3,2.187,1,0.1392
1,ENSG00000162623,TYW3,0.59,-0.539,-+,Not differentially expressed,9.7,1.108,1,0.2925
17,ENSG00000266806,AC087575.1,0.59,-0.539,0-,Not differentially expressed,0,0.121,1,0.7281
5,ENSG00000184845,DRD1,0.5901,-0.539,--,Not differentially expressed,0,0.446,1,0.5043
18,ENSG00000134762,DSC3,0.5901,0.539,++,Not differentially expressed,0,0.045,1,0.8328
5,ENSG00000170482,SLC23A1,0.5902,-0.538,-+,Not differentially expressed,37.7,1.604,1,0.2053
10,ENSG00000270965,NTAN1P1,0.5904,0.538,++,Not differentially expressed,0,0.073,1,0.7866
5,ENSG00000283740,TAF11L11,0.5906,-0.538,0,Not differentially expressed,0,0.696,1,0.4043
6,ENSG00000111906,HDDC2,0.5906,0.538,-+,Not differentially expressed,63.4,2.73,1,0.0985
10,ENSG00000155229,MMS19,0.5906,0.538,+-,Not differentially expressed,0,0.97,1,0.3248
1,ENSG00000159409,CELF3,0.5907,-0.538,+-,Not differentially expressed,79.4,4.849,1,0.02766
X,ENSG00000226048,YBX1P8,0.5908,-0.538,0-,Not differentially expressed,0,0.12,1,0.7287
12,ENSG00000135452,TSPAN31,0.591,0.537,++,Not differentially expressed,0,0.089,1,0.7658
11,ENSG00000166311,SMPD1,0.591,0.537,++,Not differentially expressed,0,0.187,1,0.6658
